gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	stage_region	stage	region
HYOU1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	256939.0756	1	0.273	273000	0.273	0	0.94117	early_pfc	early	pfc
DGKD	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	250331.20443	1	0.273	273000	0.273	0	0.91696	early_pfc	early	pfc
SEC14L1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	226351.5073	1	0.273	273000	0.273	0	0.82913	early_pfc	early	pfc
ABHD2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	223528.34316	1	0.273	273000	0.273	0	0.81879	early_pfc	early	pfc
TMEM123	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	21.99058	1	0.344	18.19909	0.364	0.02	1.20833	early_pfc	early	pfc
TOX3	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	9.61109	1	0.394	7.45889	0.455	0.061	1.28854	early_pfc	early	pfc
PSMD12	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	5.95776	1	0.443	5.34308	0.545	0.102	1.11504	early_pfc	early	pfc
LSM3	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	2.78927	1	0.462	2.74339	0.727	0.265	1.01673	early_pfc	early	pfc
TDG	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	1.82097	1	0.512	2.67319	0.818	0.306	0.6812	early_pfc	early	pfc
DDX5	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	1.79849	1	0.399	1.78235	0.909	0.51	1.00905	early_pfc	early	pfc
HSP90AB1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	0.96652	1	0.224	1.28866	1	0.776	0.75002	early_pfc	early	pfc
ATP5E	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	0.44392	1	-0.071	0.92755	0.909	0.98	0.47859	early_pfc	early	pfc
ATP6V1G1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw17	0.37728	1	-0.269	0.57504	0.364	0.633	0.65609	early_pfc	early	pfc
C4orf48	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	95.52535	0	0.667	56.57862	0.679	0.012	1.68836	mid_pfc	mid	pfc
PCSK1N	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	42.86555	0	0.711	23.21802	0.743	0.032	1.84622	mid_pfc	mid	pfc
ATP5D	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	26.7676	0	0.522	19.64216	0.55	0.028	1.36276	mid_pfc	mid	pfc
