	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MYDGF	0.00328728277821315	0.430877124594661	0.571	0.107	1	motor	MYDGF
MRPL35	0.00328728277821315	0.387508207927857	0.571	0.107	1	motor	MRPL35
CDC42BPA	0.00328728277821315	0.382400189247382	0.571	0.107	1	motor	CDC42BPA
AMN1	0.00367097168663588	0.725892096387312	0.571	0.107	1	motor	AMN1
BRD2	0.00367097168663588	0.510504731202203	0.571	0.107	1	motor	BRD2
EMC7	0.00367097168663588	0.506047231543232	0.571	0.107	1	motor	EMC7
ZMIZ1	0.00367097168663588	0.343039217317157	0.571	0.107	1	motor	ZMIZ1
SIPA1L2	0.00367097168663588	0.326614595925756	0.571	0.107	1	motor	SIPA1L2
RAB3A	0.00370733772119281	0.684366781980328	1	0.339	1	motor	RAB3A
MOCS2	0.00372961778553534	0.40883979436742	0.714	0.161	1	motor	MOCS2
MFSD10	0.00372961778553534	0.35612158218017	0.714	0.161	1	motor	MFSD10
CETN2	0.00383504595175358	0.251496855064654	0.714	0.143	1	motor	CETN2
AZI2	0.00392076670096396	0.60172285307991	0.714	0.179	1	motor	AZI2
